track_id,track_name,plays,artist_id
0hkhkJRjLVc8dQb4otKwvN,Contigo Vibro,734476,3HeDKhRrGbkjhnI6fKQJbe
0hlPsa2ntlZwppEl7QdXwU,Play Hard (Hardstyle),1049188,1pHV2NLZqJVvMQruGS9Fir
0hrR28IofCUiGDfL5eT2S4,"Faith, Pt. 1",1297643,3EZWlSBWlPsC8lCI2Y36Gl
0iI3QPTdmMzXf7dMApinMG,ACID,1319263,7qvjUtp2ccRD9AiDnukyFF
0iIl1NDawjYEiHumXLjZjY,ALLT SNURRAR,839020,5Cbn1PScGFcG2PlibZY65u
0iRUtCl9l0qYdO3eLJV3wL,Badness Upgrade 2.0,997306,3zorWCDx017sz4UYP2fC9w
0jDBL4EmgC7SF60GzT8wrz,Coração De Pedra,1586548,34dfPo3Zi55yM6oV46q4y7
0jJ7cHoHGBbxA5qQ3PiD2X,TRIADTEKK - Super Slowed,700231,4zA8FdPVZlbGZQBseivZun
0k3pfjnlvR6ksjQo4IKgWp,One More Night,868008,4QIrb9XF0JXLmlJV1z1puH
0kG4t24uQCfcC1aZL3LyFu,Gut Punch,3706433,4Rxn7Im3LGfyRkY2FlHhWi
0l72HGRQkAR0imHxvpLi8a,Die On This Hill,125952725,02gSuSAWEdWa5UOvqzjX6v
0ljATWpzUmU94vFRDNxbyq,HARDTEKK AMERICANO - Slowed,650972,1QCBeVaMmjZTeqeiQ7njws
0lmQ7cVyO4oU2hpsUuUnO2,Solamente per amore,2266641,6PsQc21YZU7WNfiODG69Qk
0lriRDVhbDIfkMhfNg4nwL,Empieza por ti,643809,1Qt1Xd6P7HhuooyzDMeWJa
0mIjarmMyVMbuUhPrMX8vE,Think About Us - Lucas Estrada Remix,724829,39B7ChWwrWDs7zXlsu3MoP
0meT5RlKZVTLQO1JC1BUpq,BLACK PILL,952043,0vBPuNcJXIMQFtlVLZJxMH
0mmeqWh5rnI5ZyAhm3l1Av,Al Calor de la Cumbia,1376494,579lu61M2KqjbyKG8EaCww
0myRViRgmQ3J8izICXEAVO,I Thought I Saw Your Face Today,120815244,3CIRif6ZAedT7kZSPvj2A4
0nUtVI615Cfu0hi3NqJNLN,KILOBIZZY IMMORTAL,2420702,2hs1DM1Lbd7OA9VDQgeEbc
0p905wyuo2Wd0JPMZP4lSC,NO DESCENDO - SLOWED,1664914,5tIkxADHN80ca0K6HCpWIt
0pa70WIyVyI3DY4bcL2vZo,สาธุ (Sathu) [feat. ปลาย กนกพร],2116544,5ghOUzxpnQmnPQDwC1thIz
0qEGLPc8UY9IkXl1oLCOWW,SEQUÊNCIA CUNT (feat. Clementaum),6842051,5wbf52LA6kcaboHSN6NEF1
0qxkl2w6rI4aLMzatQhUXv,WHIPPIN,748074,5A7T1LAGJg5NXySBoIKUmF
0qz5Hbx1qAvAYDw1129FLY,Fim de Tarde,783070,6aoGgTKGqtsjj48ymcNs4Z
0r50cnF7Wo6nVQPhqSYbpc,morras II,12639667,12GqGscKJx3aE4t07u7eVZ
0rGsJ5NdqXOscGJQM4ue4q,Work Hard Play Hard (Hardstyle),1049188,1pHV2NLZqJVvMQruGS9Fir
0rUNTb6fwTkjU3oITIOwhM,Cupido Quebrado,1354592,2yL1Xd2kQUfjIROOF73YRP
0sDLgxgS9nnm1eTfkHJrMQ,OQUE QUE TU QUER X QUERO BRINCAR - MTG,3120966,4e3VXp9wT6m3w46kdcYTmF
0sH7M5s2bEWFRe7v7VRemW,BIG FEELING,686780,6OjtkJDlAZzlzAydEn78cK
0sOZrTlVYRFyq5dmclBlrE,Aeroplane,3203263,40ZNYROS4zLfyyBSs2PGe2
0sdPwPOYj1W5SDSWDWmp46,PENSANDO EM MIM,2033415,5FK5T4mGxkfedPwBdFnw1X
0tmckE7qL6n5t85O7bpXBG,จะน่ารักไปไหน,1545820,3MjUtSzU4lplyjnX01fTSw
0uvnGQnVe313EXePbRnZEH,"Shararat (From ""Dhurandhar"")",30583548,465OXuCU8YZNmVG1leLwQ9
0vE1WglBbhmd5wDO49lcih,lulu.,3176933,4QvgGvpgzgyUOo8Yp8LDm9
0voHmspDm1Z4Js8jeBb5r3,WALLET,1974555,6Te49r3A6f5BiIgBRxH7FH
0wC5n42Q23ZLYnrJmreKcb,Deus Perdoa - Ao Vivo,7315847,2Z0lRIqr997lIUiPtrpKCr
0wKWqXhfHCguE2ylxibYOc,Bilder gelöscht,2763209,6xXFSlwZnP98zVxs7z1eb4
0x1YAtFe2kPBAYwrnaaPWM,"Ishq Da Chehra (From ""BORDER 2"")",1047490,2FKWNmZWDBZR4dE5KX4plR
0xKQmEQqZqjvfDOeY81D9u,eins zwei polizei hardtekk,1890118,4yqOpKYdk5ScLRKwqGs4SC
0yENvdQWdzbobVgxFSxkeS,Traumas - Ao Vivo,1942131,6vTqEFbTtTRJsuIpzZgjxi
0yqlXT71fhBEMbi6NwaVG7,DARK AURA FUNK - Ultra Slowed,705751,13K5EFpxgLsAHHuUv8pdoI
