track_id,track_name,artist_name,artist_id,community_id,umap_x,umap_y,playlist_count,log_playlist_count
1CHhDABrbO1XUoyO14Rbp2,Sweet Dreams (Sky like Dreams),Ferdinand fka Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,17,7.414502,-0.75496125,5,1.791759469228055
1aVFIOdRMTdX4PThgjxuUX,Higher Calling,Aludra,4k1TVuXhByengim9QI2K6Y,10,11.543216,-3.544429,4,1.6094379124341003
0oPDpIl0ZCDbAqIwiCrvAg,lotta time,1oneam,089ASSwOW4Cih3frNuDtUv,9,7.9649653,1.9114136,4,1.6094379124341003
1CM0kiqrtCSHClFjTccTOb,Trippy Yeah,Jimi Jules,6RsLLSkSTcL4YrvgRcBTQd,13,10.1216345,-4.1736093,9,2.302585092994046
0cz6nvlqemvTygR3Bwybls,Alive - DJ HEARTSTRING Remix,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,13,9.0980425,-4.6807127,3,1.3862943611198906
2Ki2eKWyUq0a75yDNlreQA,Pé na Areia 🍀,Mc IG,2q9wk5fkeU2C9CgCKdh4AN,7,10.172277,8.580607,10,2.3978952727983707
4ODwVcnzhCTlBZ3PDwaLnO,ᏰᏝᎧᎧᎴᎩ ፈᏗᏒᎮᏋᏖ؛ Ꭵ ፈᏗᏁ'Ꮦ ᏝᏋᏖ ᎩᎧᏬ ᎴᎧᏇᏁ,Junshi,3aydUXc6rz0kbPzdtTNhEp,9,6.689306,2.2002766,16,2.833213344056216
6zEg4KEgz6RGhCPmDKplYf,"Too Little, Too Late",Laufey,7gW0r5CkdEUMm42w9XpyZO,3,10.611796,0.77175856,9,2.302585092994046
5y4jyDZhP3OooL9Vc6b2uS,No Need to Scream,Timeless Hour,21SBzvBLZB09Z2iiyB4i44,56,2.6886687,-3.3122234,3,1.3862943611198906
1hU5yVE7WWzt3Ly7mKQeqW,En Guerra Con La Ley,Chicho Castro y Sus Alia2,0dc0PZKnH4whnbo7cPKABC,11,17.024757,-4.143361,4,1.6094379124341003
6ziMwlEb8Q7vytSn4hYTe9,MPH,Doechii,4E2rKHVDssGJm2SCDOMMJB,4,8.447102,-1.3814408,3,1.3862943611198906
4BC8alhi1enJNNUVyX8aaK,Breathing,Antrex,5hOuIXHYebxxydOAEtHVbm,8,9.347307,-2.9680867,3,1.3862943611198906
3sRLayspROqc62YZ0DhEdR,DOORS LIGHT FUNK - SLOWED,DJ VTTT77,7shWhQM6jbjhxG7TF6ae8X,2,5.5176153,-0.6913471,37,3.6375861597263857
0nGuCyNmkVd3FLj9d8SLzO,Sabar,Noni Febi,7v7aP5grQF6sjwucYlfGMM,31,-0.02236473,2.0277164,8,2.1972245773362196
7okjG9qhfXb7mE6HkvBMOK,La cita,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,5,14.374435,-3.3417068,5,1.791759469228055
5W6LNciPS93d0GpC7LHm0o,ยกเว้นเรื่องเธอ (เพลงประกอบละคร คิวบิก หนี้หัวใจที่ไม่ได้ก่อ),Praw Kanitkul,2j6j8IacuvYF4zgiF7e6t8,1,-3.246317,5.8308153,5,1.791759469228055
5YZvDeQOUhItx80C7KJCfX,How It Goes,Hanno,4y08hdBM8X8dh1Ik7eWZFg,8,9.253934,-3.4083939,8,2.1972245773362196
3uEg8cO6QR9KXDVA8QGl6M,Eternal Flame,Kid On The Block,6VlE82AXyZhHEo87D6C1RH,18,12.32048,-1.405996,11,2.4849066497880004
5YbxN1yCgcf0ZMqXY5JfW5,TRUMPETS,_BY.ALEXANDER,4KPgZSnwlJl4LnUDb09mCw,3,8.353521,-1.2065119,10,2.3978952727983707
7LNKcExCeMDEvF9vBcrdDd,PROVIDER,ARAM,7sl6UlH4rM9IJlgWkyE3pE,3,7.997201,-1.030975,5,1.791759469228055
1jq9FY9mEnnR8ID86YHSjP,sweet_dr3ams - Super Slowed,RXMALIAN,23UlCUKuFzLESvbMhtxK9x,14,5.6650014,0.21753794,4,1.6094379124341003
3HnffrcfdLcBpzMgMpRrc7,Devil horns and a halo,Feng,278vNvolx8H3sQJ2hgOMnh,9,7.599305,1.119732,5,1.791759469228055
3TXHQjFEX9w2bWHUnRfwFV,Tentang Rindu,Tami Aulia,4sWLkKnTn4I6mZpr7ThnD8,31,0.092244305,1.4431014,3,1.3862943611198906
623kbEIDhzRFLVk1r8cBTm,Chica Galáctica - W Sound 07,W Sound,5uwa6tAMMfNbBFIHiI6NV4,5,14.461344,-3.7126594,3,1.3862943611198906
3Jtm2L9QarASS6aYbNdfzH,Codeine Cobain,Flech3ring,6aTrpVYnW8QL0RDgxDt8lN,38,19.982658,8.679211,3,1.3862943611198906
7dSzEAZN6EVl2FoUAqXXob,Dentro da Gla,MC Menor MT,4EMRE0wdcc2xjv1PCmTqUU,7,10.835338,9.285408,4,1.6094379124341003
7jxVfKAl4TTvnWPQMCuFz9,Tretten tapte anrop,Tobias Sten,2dy8l9ul5UQAvF3bL6Q3Mz,20,9.265264,-1.921676,3,1.3862943611198906
5hxApmkOOLuLjNlUq3QP9m,Não Desfinaliza o Nosso Fim - Ao Vivo,Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,6,11.922783,9.64333,5,1.791759469228055
12wx44H3c9VSkfpZtoD9mB,Suzanne - At The Church,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,3,9.391164,-1.493946,3,1.3862943611198906
5tb1op8ZM9pE2UPQNzKU5s,Casa das Prima - Ao Vivo,Bruno & Barretto,70x9rYb58QCNNeNxuO3StS,6,10.999884,9.349422,3,1.3862943611198906
6Ar3apWGoJLPZ3zy6Eb94F,Fancy $hit,CID,4FCzCS0KEgb0rgySWINItO,8,8.703724,-4.0263715,10,2.3978952727983707
7qxPY7O8bfMjgFUMwBugg4,Naach Meri Naagin,Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,12,14.259379,4.9263635,3,1.3862943611198906
6ri5zH5DWPlvbUpQ7qmjDq,In My Flame,Sevenkey,7qsMABBiWRUKCVR1NihLoT,37,-1.5430716,13.112473,10,2.3978952727983707
1NfZ9QpFYLyyBMh7sW3Lr3,ATENTO! - Slowed,Leoseven,6MWg9mo4okpSrF8Pcpuqqq,2,5.3789845,-0.6773127,5,1.791759469228055
2MqtHEaoMmfVMe3gjg7rQz,THE RECAP,KNEECAP,1ZVACPeq7ccGCoUXwtafUU,26,8.8101225,-3.1667373,4,1.6094379124341003
7jyBfqJigtCFzLS0HVBAoi,Postman vs Trabajar Pa Tenerme - Extended MIX,FLEIV,2en7Hw27nAQoK6waOCo4uY,13,10.4969225,-4.3407774,5,1.791759469228055
644O49VKVkNrgeGnPVBlml,CANTA LA - Slowed,TRXSHBXY,1lpPb0grX95giST5LLNOuJ,2,5.224256,-0.9401224,3,1.3862943611198906
7BOUHKBXLNckvD59Gw2IqA,Azizam,Mecdoux,2LEcQU88INN9wulB59Xo0Q,21,10.483419,-5.1067805,21,3.091042453358316
5PPuzTrCjYAVyofKEUxMuV,stare szmaty,spazma,6bmmtf7rBNZvwxMOlmomN7,9,8.589833,18.133802,3,1.3862943611198906
06dDLXf4gPbE02gvH8E6G9,childhood,daniel.mp3,5OE8eZn0x45cNNc8GCpvmC,29,7.9942884,-1.4020442,11,2.4849066497880004
6crHQQfoArJX9LQohwnt2O,Nazara Milake,KAY,2IQPSepqAhQ2uYHguaZhIK,12,14.411945,5.5999074,6,1.9459101490553132
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,3,8.857775,-0.1425162,21,3.091042453358316
7oRWpbKdNGqCRYPjf0phQJ,CAN'T GET HIGH,Red Leather,2qltFRTCjw1j67Da9FR8F1,24,9.017108,0.62883735,3,1.3862943611198906
7opm9EyTP716ruaWXYrOdv,Fazer Macete,Afinho do Fluxo,2Q5VrODXSCgdp1UxJWAZbc,11,15.535006,-3.5125728,4,1.6094379124341003
4uFOYZtzKEJElfzpbqbk6N,CONNECTED,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,32,10.494983,-1.7389476,9,2.302585092994046
2A22iI0x4EYAVXNpKPhNEM,weren't for the wind,Ella Langley,6BRxQ8cD3eqnrVj6WKDok8,4,9.822583,-1.3829677,3,1.3862943611198906
3Tdih47Fm5lGlwc4qsqFGr,Beautiful Colors - from Kaiju No. 8,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,4,2.7238612,-3.314504,3,1.3862943611198906
1trlpTsQJoBoKQeHGDF72a,Haciendo Memoria,Los Plebes del Rancho de Ariel Camacho,6cnl6Jz97730GUS8zEAK77,11,15.907488,-3.6217496,11,2.4849066497880004
0FkvwatbZpQVyFmNeVvhRp,Kristiania Hjemmesnekk,Xania,5wTWl6yz9mdfVKKZncYx5q,20,18.897842,2.949023,7,2.0794415416798357
1eunv1DeEi29UfAcVEoLTt,POR SUS BESOS,Tito Double P,5eumcnUkdmGvkvcsx1WFNG,11,15.768684,-3.659294,34,3.5553480614894135
0b4X3lIU6y9xXRVZS4ukAl,MEGA DEEP IN LOVE,DJ Bratti SC,5y7mDNlFbmL1LYSwMSeY4U,7,10.63399,7.9430842,3,1.3862943611198906
